2016-10-17 12:03:31 status half-configured grive:amd64 0.5.1-1+git20160905~webupd8~xenial0
2016-10-17 12:03:31 status unpacked grive:amd64 0.5.1-1+git20160905~webupd8~xenial0
2016-10-17 12:03:31 status half-installed grive:amd64 0.5.1-1+git20160905~webupd8~xenial0
2016-10-17 12:03:31 status half-installed grive:amd64 0.5.1-1+git20160905~webupd8~xenial0
2016-10-17 12:03:31 status unpacked grive:amd64 0.5.1-1+git20161013~webupd8~xenial0
2016-10-17 12:03:31 status unpacked grive:amd64 0.5.1-1+git20161013~webupd8~xenial0
2016-10-17 12:03:31 upgrade linux-firmware:all 1.157.3 1.157.4
2016-10-17 12:03:31 status half-configured linux-firmware:all 1.157.3
2016-10-17 12:03:31 status unpacked linux-firmware:all 1.157.3
2016-10-17 12:03:31 status half-installed linux-firmware:all 1.157.3
2016-10-17 12:03:37 status half-installed linux-firmware:all 1.157.3
2016-10-17 12:03:37 status unpacked linux-firmware:all 1.157.4
2016-10-17 12:03:37 status unpacked linux-firmware:all 1.157.4
2016-10-17 12:03:37 upgrade linux-libc-dev:amd64 4.4.0-38.57 4.4.0-43.63
2016-10-17 12:03:37 status half-configured linux-libc-dev:amd64 4.4.0-38.57
2016-10-17 12:03:37 status unpacked linux-libc-dev:amd64 4.4.0-38.57
2016-10-17 12:03:37 status half-installed linux-libc-dev:amd64 4.4.0-38.57
2016-10-17 12:03:38 status half-installed linux-libc-dev:amd64 4.4.0-38.57
2016-10-17 12:03:38 status unpacked linux-libc-dev:amd64 4.4.0-43.63
2016-10-17 12:03:38 status unpacked linux-libc-dev:amd64 4.4.0-43.63
2016-10-17 12:03:38 upgrade php7.0-readline:amd64 7.0.8-0ubuntu0.16.04.2 7.0.8-0ubuntu0.16.04.3
2016-10-17 12:03:38 status triggers-pending php7.0-fpm:amd64 7.0.8-0ubuntu0.16.04.2
2016-10-17 12:03:38 status half-configured php7.0-readline:amd64 7.0.8-0ubuntu0.16.04.2
2016-10-17 12:03:38 status unpacked php7.0-readline:amd64 7.0.8-0ubuntu0.16.04.2
2016-10-17 12:03:38 status half-installed php7.0-readline:amd64 7.0.8-0ubuntu0.16.04.2
2016-10-17 12:03:38 status half-installed php7.0-readline:amd64 7.0.8-0ubuntu0.16.04.2
2016-10-17 12:03:38 status unpacked php7.0-readline:amd64 7.0.8-0ubuntu0.16.04.3
2016-10-17 12:03:38 status unpacked php7.0-readline:amd64 7.0.8-0ubuntu0.16.04.3
2016-10-17 12:03:38 upgrade php7.0-json:amd64 7.0.8-0ubuntu0.16.04.2 7.0.8-0ubuntu0.16.04.3
2016-10-17 12:03:38 status half-configured php7.0-json:amd64 7.0.8-0ubuntu0.16.04.2
2016-10-17 12:03:38 status unpacked php7.0-json:amd64 7.0.8-0ubuntu0.16.04.2
2016-10-17 12:03:38 status half-installed php7.0-json:amd64 7.0.8-0ubuntu0.16.04.2
2016-10-17 12:03:38 status half-installed php7.0-json:amd64 7.0.8-0ubuntu0.16.04.2
2016-10-17 12:03:38 status unpacked php7.0-json:amd64 7.0.8-0ubuntu0.16.04.3
2016-10-17 12:03:38 status unpacked php7.0-json:amd64 7.0.8-0ubuntu0.16.04.3
2016-10-17 12:03:38 upgrade php7.0-opcache:amd64 7.0.8-0ubuntu0.16.04.2 7.0.8-0ubuntu0.16.04.3
2016-10-17 12:03:38 status half-configured php7.0-opcache:amd64 7.0.8-0ubuntu0.16.04.2
2016-10-17 12:03:38 status unpacked php7.0-opcache:amd64 7.0.8-0ubuntu0.16.04.2
2016-10-17 12:03:38 status half-installed php7.0-opcache:amd64 7.0.8-0ubuntu0.16.04.2
